storeid,shopname,branchno,date,location,time,in-coming,out-coming
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,06:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,07:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,08:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,09:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,10:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,11:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,12:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,13:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,14:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,15:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,16:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,17:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,18:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,19:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,20:00:00,0,0
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,21:00:00,140,100
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,22:00:00,276,261
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,23:00:00,156,183
ISR018,18 Dizengof ISR018,100002,06/02/2021,all entrances,00:00:00,1,14
