SitePrefix,DateTime,AverageShoppingTime(mins),sum In
443, 07/05/2021 23:59:00, 66, 666
456, 07/05/2021 23:59:00, 8, 1437
664, 07/05/2021 23:59:00, 9, 1074
141, 07/05/2021 23:59:00, 7, 1390
89, 07/05/2021 23:59:00, 10, 1396
445, 07/05/2021 23:59:00, 11, 967
472, 07/05/2021 23:59:00, 8, 2022
658, 07/05/2021 23:59:00, 9, 669
435, 07/05/2021 23:59:00, 8, 1047
669, 07/05/2021 23:59:00, 6, 568
678, 07/05/2021 23:59:00, 9, 567
661, 07/05/2021 23:59:00, 10, 1481
646, 07/05/2021 23:59:00, 9, 937
