SitePrefix,DateTime,AverageShoppingTime(mins),sum In
443, 06/05/2021 23:59:00, 55, 555
456, 06/05/2021 23:59:00, 8, 1437
664, 06/05/2021 23:59:00, 9, 1074
141, 06/05/2021 23:59:00, 7, 1390
89, 06/05/2021 23:59:00, 10, 1396
445, 06/05/2021 23:59:00, 11, 967
472, 06/05/2021 23:59:00, 8, 2022
658, 06/05/2021 23:59:00, 9, 669
435, 06/05/2021 23:59:00, 8, 1047
669, 06/05/2021 23:59:00, 6, 568
678, 06/05/2021 23:59:00, 9, 567
661, 06/05/2021 23:59:00, 10, 1481
646, 06/05/2021 23:59:00, 9, 937
